Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;1;14,15
DI x pré;4;6;14,15
DI x pré;5;7;14,15
DI x pré;6;8;14,15
DI x pré;8;10;14,15
DI x pré;10;14;14,15
DI x pré;12;16;14,15
DI x pré;15;21;14,15
DI x pré;16;22;14,15
DI x pré;17;23;14,15
DI x pré;18;24;14,15
DI x pré;19;27;14,15
DI x pré;22;30;14,13
DI x pré;26;36;14,11
DI x pré;29;41;14,09
DI x pré;30;42;14,09
DI x pré;31;43;14,09
DI x pré;33;45;14,08
DI x pré;37;51;14,07
DI x pré;38;52;14,07
DI x pré;39;55;14,07
DI x pré;40;56;14,06
DI x pré;44;63;14,06
DI x pré;49;70;14,05
DI x pré;50;71;14,04
DI x pré;51;72;14,04
DI x pré;52;73;14,04
DI x pré;54;77;14,04
DI x pré;58;83;14,03
DI x pré;60;85;14,03
DI x pré;61;86;14,03
DI x pré;63;90;14,03
DI x pré;69;99;14,02
DI x pré;70;100;14,02
DI x pré;71;101;14,02
DI x pré;73;105;14,02
DI x pré;74;106;14,01
DI x pré;79;113;14,01
DI x pré;80;114;14,01
DI x pré;81;115;14,01
DI x pré;82;119;14,01
DI x pré;83;120;14,01
DI x pré;91;132;14,01
DI x pré;92;133;14,01
DI x pré;93;134;14,01
DI x pré;94;135;14,01
DI x pré;100;146;14,02
DI x pré;101;147;14,02
DI x pré;104;150;14,02
DI x pré;111;161;14,03
DI x pré;112;162;14,03
DI x pré;113;163;14,03
DI x pré;114;164;14,03
DI x pré;119;174;14,04
DI x pré;120;175;14,04
DI x pré;121;176;14,04
DI x pré;123;181;14,04
DI x pré;132;192;14,06
DI x pré;142;206;14,08
DI x pré;143;209;14,08
DI x pré;144;210;14,08
DI x pré;150;220;14,09
DI x pré;151;223;14,09
DI x pré;152;224;14,09
DI x pré;153;225;14,09
DI x pré;158;232;14,09
DI x pré;159;233;14,09
DI x pré;160;234;14,09
DI x pré;161;237;14,09
DI x pré;164;240;14,10
DI x pré;171;251;14,10
DI x pré;175;255;14,11
DI x pré;176;258;14,11
DI x pré;180;265;14,11
DI x pré;182;267;14,11
DI x pré;183;268;14,12
DI x pré;185;272;14,12
DI x pré;192;281;14,12
DI x pré;194;283;14,12
DI x pré;201;295;14,12
DI x pré;202;296;14,12
DI x pré;203;297;14,12
DI x pré;204;300;14,12
DI x pré;214;314;14,12
DI x pré;217;317;14,12
DI x pré;223;328;14,12
DI x pré;224;329;14,12
DI x pré;225;330;14,12
DI x pré;235;344;14,13
DI x pré;237;346;14,13
DI x pré;244;357;14,14
DI x pré;246;359;14,14
DI x pré;247;360;14,14
DI x pré;256;373;14,13
DI x pré;268;391;14,12
DI x pré;277;402;14,13
DI x pré;278;405;14,13
DI x pré;280;407;14,13
DI x pré;289;420;14,14
DI x pré;299;435;14,14
DI x pré;304;442;14,14
DI x pré;310;450;14,15
DI x pré;311;451;14,15
DI x pré;318;463;14,14
DI x pré;331;482;14,14
DI x pré;340;497;14,14
DI x pré;349;510;14,14
DI x pré;351;512;14,14
DI x pré;361;526;14,14
DI x pré;371;540;14,15
DI x pré;372;541;14,15
DI x pré;374;545;14,15
DI x pré;393;570;14,16
